name	type	source	detector	wavelength_nominal	units	sampling_frequency
S1-D1	NIRSCWAMPLITUDE	1	1	750	n/a	10.00060208968126
S2-D1	NIRSCWAMPLITUDE	2	1	750	n/a	10.00060208968126
S3-D1	NIRSCWAMPLITUDE	3	1	750	n/a	10.00060208968126
S4-D1	NIRSCWAMPLITUDE	4	1	750	n/a	10.00060208968126
S5-D1	NIRSCWAMPLITUDE	5	1	750	n/a	10.00060208968126
S6-D1	NIRSCWAMPLITUDE	6	1	750	n/a	10.00060208968126
S7-D1	NIRSCWAMPLITUDE	7	1	750	n/a	10.00060208968126
S8-D1	NIRSCWAMPLITUDE	8	1	750	n/a	10.00060208968126
S9-D1	NIRSCWAMPLITUDE	9	1	750	n/a	10.00060208968126
S1-D2	NIRSCWAMPLITUDE	1	2	750	n/a	10.00060208968126
S2-D2	NIRSCWAMPLITUDE	2	2	750	n/a	10.00060208968126
S3-D2	NIRSCWAMPLITUDE	3	2	750	n/a	10.00060208968126
S4-D2	NIRSCWAMPLITUDE	4	2	750	n/a	10.00060208968126
S5-D2	NIRSCWAMPLITUDE	5	2	750	n/a	10.00060208968126
S6-D2	NIRSCWAMPLITUDE	6	2	750	n/a	10.00060208968126
S7-D2	NIRSCWAMPLITUDE	7	2	750	n/a	10.00060208968126
S8-D2	NIRSCWAMPLITUDE	8	2	750	n/a	10.00060208968126
S9-D2	NIRSCWAMPLITUDE	9	2	750	n/a	10.00060208968126
S1-D3	NIRSCWAMPLITUDE	1	3	750	n/a	10.00060208968126
S2-D3	NIRSCWAMPLITUDE	2	3	750	n/a	10.00060208968126
S3-D3	NIRSCWAMPLITUDE	3	3	750	n/a	10.00060208968126
S4-D3	NIRSCWAMPLITUDE	4	3	750	n/a	10.00060208968126
S5-D3	NIRSCWAMPLITUDE	5	3	750	n/a	10.00060208968126
S6-D3	NIRSCWAMPLITUDE	6	3	750	n/a	10.00060208968126
S7-D3	NIRSCWAMPLITUDE	7	3	750	n/a	10.00060208968126
S8-D3	NIRSCWAMPLITUDE	8	3	750	n/a	10.00060208968126
S9-D3	NIRSCWAMPLITUDE	9	3	750	n/a	10.00060208968126
S10-D3	NIRSCWAMPLITUDE	10	3	750	n/a	10.00060208968126
S11-D3	NIRSCWAMPLITUDE	11	3	750	n/a	10.00060208968126
S12-D3	NIRSCWAMPLITUDE	12	3	750	n/a	10.00060208968126
S1-D4	NIRSCWAMPLITUDE	1	4	750	n/a	10.00060208968126
S2-D4	NIRSCWAMPLITUDE	2	4	750	n/a	10.00060208968126
S3-D4	NIRSCWAMPLITUDE	3	4	750	n/a	10.00060208968126
S4-D4	NIRSCWAMPLITUDE	4	4	750	n/a	10.00060208968126
S5-D4	NIRSCWAMPLITUDE	5	4	750	n/a	10.00060208968126
S6-D4	NIRSCWAMPLITUDE	6	4	750	n/a	10.00060208968126
S7-D4	NIRSCWAMPLITUDE	7	4	750	n/a	10.00060208968126
S8-D4	NIRSCWAMPLITUDE	8	4	750	n/a	10.00060208968126
S9-D4	NIRSCWAMPLITUDE	9	4	750	n/a	10.00060208968126
S10-D4	NIRSCWAMPLITUDE	10	4	750	n/a	10.00060208968126
S11-D4	NIRSCWAMPLITUDE	11	4	750	n/a	10.00060208968126
S12-D4	NIRSCWAMPLITUDE	12	4	750	n/a	10.00060208968126
S1-D5	NIRSCWAMPLITUDE	1	5	750	n/a	10.00060208968126
S2-D5	NIRSCWAMPLITUDE	2	5	750	n/a	10.00060208968126
S3-D5	NIRSCWAMPLITUDE	3	5	750	n/a	10.00060208968126
S4-D5	NIRSCWAMPLITUDE	4	5	750	n/a	10.00060208968126
S5-D5	NIRSCWAMPLITUDE	5	5	750	n/a	10.00060208968126
S6-D5	NIRSCWAMPLITUDE	6	5	750	n/a	10.00060208968126
S7-D5	NIRSCWAMPLITUDE	7	5	750	n/a	10.00060208968126
S8-D5	NIRSCWAMPLITUDE	8	5	750	n/a	10.00060208968126
S9-D5	NIRSCWAMPLITUDE	9	5	750	n/a	10.00060208968126
S10-D5	NIRSCWAMPLITUDE	10	5	750	n/a	10.00060208968126
S11-D5	NIRSCWAMPLITUDE	11	5	750	n/a	10.00060208968126
S12-D5	NIRSCWAMPLITUDE	12	5	750	n/a	10.00060208968126
S13-D5	NIRSCWAMPLITUDE	13	5	750	n/a	10.00060208968126
S14-D5	NIRSCWAMPLITUDE	14	5	750	n/a	10.00060208968126
S15-D5	NIRSCWAMPLITUDE	15	5	750	n/a	10.00060208968126
S1-D6	NIRSCWAMPLITUDE	1	6	750	n/a	10.00060208968126
S2-D6	NIRSCWAMPLITUDE	2	6	750	n/a	10.00060208968126
